taxonKey,genus,species,decimalLatitude,decimalLongitude,country,coordinateUncertaintyInMeters,year,month,day
7294715,Cordia,Cordia superba,-23.534734,-46.696857,Brazil,48.0,2021.0,10.0,17.0
7294715,Cordia,Cordia superba,-23.581867,-46.751187,Brazil,10.0,2021.0,10.0,20.0
7294715,Cordia,Cordia superba,-23.338067,-51.505405,Brazil,7.0,2021.0,10.0,21.0
7294715,Cordia,Cordia superba,-23.529971,-47.695224,Brazil,14.0,2021.0,10.0,21.0
7294715,Cordia,Cordia superba,-22.535325,-41.935472,Brazil,17.0,2021.0,10.0,24.0
7294715,Cordia,Cordia superba,-21.125833,-47.769167,Brazil,9.0,2021.0,10.0,27.0
7294715,Cordia,Cordia superba,-22.888467,-43.552455,Brazil,5.0,2021.0,11.0,7.0
7294715,Cordia,Cordia superba,-20.127874,-44.221926,Brazil,40.0,2021.0,11.0,13.0
7294715,Cordia,Cordia superba,-15.796243,-47.925587,Brazil,5.0,2021.0,11.0,1.0
7294715,Cordia,Cordia superba,-23.549937,-46.692978,Brazil,5.0,2021.0,11.0,4.0
7294715,Cordia,Cordia superba,-23.545609,-46.727725,Brazil,10.0,2021.0,11.0,5.0
7294715,Cordia,Cordia superba,-21.283442,-50.361043,Brazil,10.0,2021.0,11.0,7.0
7294715,Cordia,Cordia superba,-22.874247,-47.041662,Brazil,,2021.0,11.0,9.0
7294715,Cordia,Cordia superba,-23.5483,-46.659169,Brazil,13.0,2021.0,11.0,19.0
7294715,Cordia,Cordia superba,-23.480595,-46.263412,Brazil,11.0,2021.0,11.0,20.0
7294715,Cordia,Cordia superba,-23.162013,-47.317153,Brazil,16.0,2021.0,11.0,28.0
7294715,Cordia,Cordia superba,-22.934731,-43.17184,Brazil,12.0,2021.0,12.0,6.0
7294715,Cordia,Cordia superba,-23.576938,-46.666492,Brazil,10.0,2021.0,12.0,5.0
7294715,Cordia,Cordia superba,-23.576938,-46.666492,Brazil,10.0,2021.0,12.0,5.0
7294715,Cordia,Cordia superba,-15.795833,-47.846389,Brazil,13.0,2021.0,12.0,7.0
7294715,Cordia,Cordia superba,-19.966962,-43.941172,Brazil,8.0,2021.0,12.0,19.0
7294715,Cordia,Cordia superba,-23.554246,-46.2107,Brazil,,2021.0,12.0,28.0
7294715,Cordia,Cordia superba,-22.920205,-42.918152,Brazil,11.0,2021.0,12.0,28.0
7294715,Cordia,Cordia superba,-22.77048,-47.177891,Brazil,16.0,2021.0,12.0,30.0
7294715,Cordia,Cordia superba,-25.441906,-49.23972,Brazil,,2020.0,1.0,6.0
7294715,Cordia,Cordia superba,-18.50745,-42.087597,Brazil,,2020.0,1.0,1.0
7294715,Cordia,Cordia superba,-18.50745,-42.087597,Brazil,,2020.0,1.0,1.0
7294715,Cordia,Cordia superba,-23.496819,-47.40604,Brazil,,2020.0,1.0,19.0
7294715,Cordia,Cordia superba,-22.893458,-43.17876,Brazil,,2020.0,1.0,21.0
7294715,Cordia,Cordia superba,-22.936139,-43.171448,Brazil,22.0,2020.0,1.0,26.0
7294715,Cordia,Cordia superba,-22.936124,-43.171436,Brazil,21.0,2020.0,1.0,26.0
7294715,Cordia,Cordia superba,-23.586143,-46.655043,Brazil,,2020.0,2.0,17.0
7294715,Cordia,Cordia superba,-22.2575,-43.035,Brazil,,2020.0,2.0,22.0
7294715,Cordia,Cordia superba,-22.2575,-43.035,Brazil,,2020.0,2.0,22.0
7294715,Cordia,Cordia superba,-22.257778,-43.035278,Brazil,,2020.0,2.0,22.0
7294715,Cordia,Cordia superba,-22.913611,-42.877778,Brazil,,2020.0,2.0,27.0
7294715,Cordia,Cordia superba,-22.862119,-46.966558,Brazil,8.0,2020.0,3.0,7.0
7294715,Cordia,Cordia superba,-22.918141,-43.902212,Brazil,11.0,2020.0,3.0,22.0
7294715,Cordia,Cordia superba,-22.918141,-43.902212,Brazil,11.0,2020.0,3.0,24.0
7294715,Cordia,Cordia superba,-23.008846,-49.32299,Brazil,,2020.0,4.0,23.0
7294715,Cordia,Cordia superba,-23.008846,-49.32299,Brazil,,2020.0,4.0,23.0
7294715,Cordia,Cordia superba,-22.230286,-43.049925,Brazil,,2020.0,4.0,27.0
7294715,Cordia,Cordia superba,-22.784156,-45.237878,Brazil,,2020.0,5.0,4.0
7294715,Cordia,Cordia superba,-22.784156,-45.237878,Brazil,,2020.0,5.0,4.0
7294715,Cordia,Cordia superba,-23.586719,-46.655598,Brazil,,2020.0,6.0,26.0
7294715,Cordia,Cordia superba,-22.443058,-47.590401,Brazil,,2020.0,6.0,27.0
7294715,Cordia,Cordia superba,-22.918056,-43.217932,Brazil,65.0,2020.0,6.0,28.0
7294715,Cordia,Cordia superba,-15.944865,-47.814617,Brazil,,2020.0,7.0,18.0
7294715,Cordia,Cordia superba,-11.700297,-39.0889,Brazil,,2020.0,10.0,28.0
7294715,Cordia,Cordia superba,-22.725808,-47.62781,Brazil,,2020.0,10.0,2.0
7294715,Cordia,Cordia superba,-22.875157,-43.410341,Brazil,4.0,2020.0,10.0,8.0
7294715,Cordia,Cordia superba,-22.341286,-43.182695,Brazil,5.0,2020.0,10.0,11.0
7294715,Cordia,Cordia superba,-23.017205,-46.996084,Brazil,,2020.0,10.0,17.0
7294715,Cordia,Cordia superba,-22.923748,-43.171427,Brazil,9.0,2020.0,10.0,23.0
7294715,Cordia,Cordia superba,-22.923712,-43.17132,Brazil,,2020.0,10.0,23.0
